Station,Entry_Exit,Trip,Month,Year
Bardwell Park Station,Entry,26477,11,2024
Bardwell Park Station,Exit,24435,11,2024
Beecroft Station,Entry,31404,11,2024
Beecroft Station,Exit,30308,11,2024
Berala Station,Entry,45437,11,2024
Berala Station,Exit,43598,11,2024
Berowra Station,Entry,25130,11,2024
Berowra Station,Exit,22911,11,2024
Beverly Hills Station,Entry,46742,11,2024
Beverly Hills Station,Exit,41499,11,2024
Bexley North Station,Entry,31113,11,2024
Bexley North Station,Exit,28214,11,2024
Birrong Station,Entry,11601,11,2024
Birrong Station,Exit,11453,11,2024
Blacktown Station,Entry,383438,11,2024
Blacktown Station,Exit,392319,11,2024
Bondi Junction Station,Entry,617284,11,2024
Bondi Junction Station,Exit,607849,11,2024
Burwood Station,Entry,512587,11,2024
Burwood Station,Exit,524549,11,2024
Cabramatta Station,Entry,176704,11,2024
Cabramatta Station,Exit,173562,11,2024
Campbelltown Station,Entry,129235,11,2024
Campbelltown Station,Exit,127961,11,2024
Canley Vale Station,Entry,55861,11,2024
Canley Vale Station,Exit,50803,11,2024
Caringbah Station,Entry,60245,11,2024
Caringbah Station,Exit,55550,11,2024
Carlton Station,Entry,63545,11,2024
Carlton Station,Exit,58965,11,2024
Carramar Station,Entry,13114,11,2024
Carramar Station,Exit,11492,11,2024
Casula Station,Entry,9037,11,2024
Casula Station,Exit,8263,11,2024
Central Station,Entry,2036067,11,2024
Central Station,Exit,2094407,11,2024
Chatswood Station,Entry,797258,11,2024
Chatswood Station,Exit,822656,11,2024
Cheltenham Station,Entry,21194,11,2024
Cheltenham Station,Exit,17628,11,2024
Chester Hill Station,Entry,25114,11,2024
Chester Hill Station,Exit,23780,11,2024
Circular Quay Station,Entry,659339,11,2024
Circular Quay Station,Exit,646875,11,2024
Clarendon Station,Entry,1423,11,2024
Clarendon Station,Exit,1426,11,2024
Clyde Station,Entry,23524,11,2024
Clyde Station,Exit,22398,11,2024
Como Station,Entry,15010,11,2024
Como Station,Exit,12530,11,2024
Concord West Station,Entry,46399,11,2024
Concord West Station,Exit,43484,11,2024
Cronulla Station,Entry,65704,11,2024
Cronulla Station,Exit,65865,11,2024
Croydon Station,Entry,55074,11,2024
Croydon Station,Exit,49428,11,2024
Denistone Station,Entry,12232,11,2024
Denistone Station,Exit,10842,11,2024
Doonside Station,Entry,65482,11,2024
Doonside Station,Exit,58721,11,2024
East Hills Station,Entry,22713,11,2024
East Hills Station,Exit,22778,11,2024
East Richmond Station,Entry,4211,11,2024
East Richmond Station,Exit,4800,11,2024
Eastwood Station,Entry,165956,11,2024
Eastwood Station,Exit,167148,11,2024
Edgecliff Station,Entry,208956,11,2024
Edgecliff Station,Exit,201751,11,2024
Edmondson Park Station,Entry,93720,11,2024
Edmondson Park Station,Exit,89143,11,2024
Emu Plains Station,Entry,24603,11,2024
Emu Plains Station,Exit,23074,11,2024
Engadine Station,Entry,27431,11,2024
Engadine Station,Exit,25348,11,2024
Epping Station,Entry,371170,11,2024
Epping Station,Exit,363876,11,2024
Erskineville Station,Entry,59853,11,2024
Erskineville Station,Exit,54371,11,2024
Fairfield Station,Entry,144694,11,2024
Fairfield Station,Exit,140740,11,2024
Flemington Station,Entry,126546,11,2024
Flemington Station,Exit,121186,11,2024
Glenfield Station,Entry,135258,11,2024
Glenfield Station,Exit,126863,11,2024
Gordon Station,Entry,151986,11,2024
Gordon Station,Exit,147189,11,2024
Granville Station,Entry,174079,11,2024
Granville Station,Exit,162946,11,2024
Green Square Station,Entry,246970,11,2024
Green Square Station,Exit,236726,11,2024
Guildford Station,Entry,70816,11,2024
Guildford Station,Exit,63096,11,2024
Gymea Station,Entry,45118,11,2024
Gymea Station,Exit,40722,11,2024
Harris Park Station,Entry,66000,11,2024
Harris Park Station,Exit,67090,11,2024
Heathcote Station,Entry,11779,11,2024
Heathcote Station,Exit,11327,11,2024
Helensburgh Station,Entry,9700,11,2024
Helensburgh Station,Exit,8604,11,2024
Holsworthy Station,Entry,65564,11,2024
Holsworthy Station,Exit,60221,11,2024
Homebush Station,Entry,95696,11,2024
Homebush Station,Exit,91696,11,2024
Hornsby Station,Entry,288903,11,2024
Hornsby Station,Exit,292115,11,2024
Hurstville Station,Entry,473019,11,2024
Hurstville Station,Exit,479330,11,2024
Ingleburn Station,Entry,68337,11,2024
Ingleburn Station,Exit,67595,11,2024
Jannali Station,Entry,55472,11,2024
Jannali Station,Exit,51475,11,2024
Killara Station,Entry,44828,11,2024
Killara Station,Exit,42479,11,2024
Kings Cross Station,Entry,368659,11,2024
Kings Cross Station,Exit,382626,11,2024
Kingsgrove Station,Entry,53037,11,2024
